Frequency(Hz),Magnitude(dB),Phase(deg)
131.21,0.2529286044268986,88.178581
132.854,0.18138860442689975,87.250824
134.519,0.11193060442690239,86.270226
136.205,0.04280760442689768,85.319687
137.911,-0.028458395573110806,84.41597
139.639,-0.10440139557310602,83.536705
141.389,-0.18351039557310855,82.686562
143.161,-0.2609183955730998,81.884758
144.954,-0.3326653955731018,81.086334
146.771,-0.39807239557310936,80.275063
148.61,-0.459015395573104,79.45826
150.472,-0.51470239557311,78.657433
152.357,-0.561585395573104,77.861908
154.266,-0.5954363955731026,77.070755
156.199,-0.6155863955731036,76.222252
158.156,-0.6256723955731047,75.292694
160.138,-0.6319583955731076,74.297417
162.145,-0.6409153955731028,73.223885
164.176,-0.6551523955731113,72.068352
166.234,-0.6738513955731094,70.886703
168.316,-0.6975253955731091,69.672318
170.426,-0.7273793955731094,68.403625
172.561,-0.7652593955731106,67.089737
174.723,-0.8100133955731081,65.76062
176.912,-0.8603143955730985,64.447472
179.129,-0.915169395573102,63.13269
181.374,-0.9735873955731051,61.827324
183.646,-1.0342033955731011,60.526836
185.947,-1.0954753955731036,59.235241
188.277,-1.1569903955731036,57.949314
190.636,-1.2189103955731042,56.66526
193.025,-1.2808693955731059,55.383892
195.444,-1.3424613955731104,54.106289
197.893,-1.4030923955731112,52.824402
200.372,-1.4627233955731072,51.543957
202.883,-1.521035395573108,50.250565
205.425,-1.578263395573103,48.947884
207.999,-1.6351933955731113,47.635124
210.605,-1.691498395573106,46.322853
213.244,-1.7474223955731105,45.006374
215.916,-1.8028643955731098,43.672218
218.622,-1.8573463955731029,42.325554
221.361,-1.9100883955730978,40.96965
224.135,-1.9611673955730993,39.598694
226.943,-2.01161239557311,38.206322
229.787,-2.0619133955731,36.791077
232.666,-2.11190839557311,35.367805
235.581,-2.1611253955731087,33.929119
238.533,-2.2095953955731034,32.476173
241.522,-2.257653395573101,31.005362
244.548,-2.305878395573103,29.503702
247.613,-2.3548433955730985,28.00169
250.715,-2.404282395573105,26.482737
253.857,-2.4538883955731023,24.946901
257.037,-2.502518395573105,23.386665
260.258,-2.5498663955731047,21.822336
263.519,-2.5966653955730976,20.246092
266.821,-2.6434483955731025,18.649931
